"Allow Qty Below 0","Povolit množství menší než 0"
"Allow Qty Below 0 and Notify Customer","Povolit množství menší než 0 a upozornit zákazníka"
"Backorders","Zpětné objednávky"
"By Fixed value","Podle pevné hodnoty"
"By Percentage","Podle procent"
"Can not specify product identifier for order item","Není specifikován identifikátor produktu pro objednávku"
"Decrease Stock When Order is Placed","Snížit množství na skladě, když je objednávka přijata"
"Inventory","Sklad"
"Inventory API","API skladu"
"Manage Stock","Spravovat sklad"
"Maximum Qty Allowed in Shopping Cart","Maximální dovolené množství v košíku"
"Minimum Qty Allowed in Shopping Cart","Minimální dovolené množství v košíku"
"Minimum Qty for Items' Status to be In Stock","Minimální množství pro stav ""Na skladě"""
"No Backorders","Nedovolit zpětné objednávky"
"Notify for Quantity Below","Upozornit pro množství menší než"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Pravidla cen"
"Set Items' Status to be In Stock When Order is Cancelled","Nastavit stav ""Na skladě"" pokud je objednávka zrušena"
"Stock Options","Možnosti skladu"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The requested quantity for ""%s"" is not available.","Požadované mrožství ""%s"" není dostupné."
"The requested quantity is not available.","Požadované množství není dostupné."
"To Fixed Value","Pevnou hodnotou"
"To Percentage","Percentuáně"
"Update product stock data","Aktualizovat skladová data produktu"
"Update the Product","Aktualizovat produkt"
"Product Stock Options","Možností zboží na skladu"
"Qty for Items' Status to become Out of Stock","Množství zboží při kterém je vyprodáno"
