"* Required Fields","* Povinná pole"
"Comment","Komentář"
"Contact Form","Kontaktní formulář"
"Contact Information","Kontaktní informace"
"Contact Us","Kontaktujte nás"
"Contacts","Kontakty"
"Email","E-mail"
Email Options,Možnosti e-mailu
Email Sender,Odesílatel e-mailu
Email Template,Šablony e-mailu
"Enable Contact Us","Povolit Kontaktujte nás"
"Name","Jméno"
Send Emails To,Poslat e-mail
"Submit","Odeslat"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later",Nelze odeslat Váš požadavek. Prosím zkuste opakovat později
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Váš dotaz byl odeslán a bude vyřízen jakmile to bude možné. Děkujeme za Váš zájem."
