"* Select shipping method","* Vyberte způsob doručení"
"AVS Status: %s","AVS stav: %s"
"Amount: %s","Množství: %s"
"Auto-generated from GoogleCheckout Charge","Automaticky generováno z GoogleCheckout Charge"
"Buyer account age: %s days","Stáří účtu prodavače: %s dní"
"CC Partial: xxxx-%s","Kreditní karta: xxxx-%s"
"CID Status: %s","Stav CID: %s"
"Cart Discount","Sleva košíku"
"Checkout Image Style","Kontrolní obrázkový styl"
"Continue Shopping URL","Pokračovat na adresu (URL)"
"Debug","Ladění"
"Default price:","Výchozí cena:"
"Eligible for protection: %s","Vhodný pro ochranu: %s"
"Enable","Povolený"
"Expiration: %s","Vyprší: %s"
"Financial: %s -> %s","Finance: %s -> %s"
"Fulfillment: %s -> %s","Plnění: %s -> %s"
"Google API","Google API"
"Google Authorization:","Autorizace Google:"
"Google Buyer Id: %s","Google prodavač id: %s"
"Google Charge:","Google Charge:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout přeprava - kalkulace dopravce"
"Google Checkout Shipping - Flat Rate","Google Checkout přeprava - paušální sazby"
"Google Checkout Shipping - Merchant Calculated","Google Checkout přeprava - Kalkulace obchodníka"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google číslo objednávky: %s"
"Google Refund:","Google Refund:"
"Google Risk Information:","Google Risk Information:"
"Google order status change:","Google stav objednávky změněn:"
"Hide Cart Contents During Checkout","Skrýt obsah košíku během placení"
"IP Address: %s","Adresa IP: %s"
"Invoice auto-created: %s","Automaticky vytvořená faktura: %s"
"Latest Charge: %s","Poslední změna: %s"
"Latest Refund: %s","Posledně obdrženo: %s"
"Location","Umístění"
"Merchant ID","ID obchodníka"
"Merchant Key","Klíč obchodníka"
"New order status","Nový stav objednávky"
"Optional, leave empty for home page.","Ponechte prázdné pro domovskou stránku."
"Sandbox","Pískoviště"
"Total Charged: %s","Celkem účtováno: %s"
"Total Refunded: %s","Celkem zaplaceno: %s"
"Virtual item to reflect discount total","Položka zobrazující celkovou slevu"
"You will be redirected to GoogleCheckout in a few seconds.","Během několika sekund budete přesměrováni na GoogleCheckout."
"Account number","Číslo účtu"
