"%s Item(s)","položek: %s"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(ver. %s)","(ver. %s)"
"Click <a href=""%s"">here</a> if nothing has happened","Pokud se nic neděje klikněte <a href=""%s"">zde</a>."
"Close Window","Zavřít okno"
"Copyright","Copyright"
"Default Description","Výchozí popis"
"Default Keywords","Výchozí klíčová slova"
"Default Robots","Výchozí roboti"
"Default Title","Výchozí nadpis"
"Default welcome msg!","Výchozí uvítací zpráva!"
Footer,Patička
"HTML Head","Hlavička HTML"
"Header","Hlavička"
"Help Us to Keep Magento Healthy","Pomozte nám udržovat Magento v pořádku"
"Interface Language","Rozhraní jazyka"
"Items %s to %s of %s total","Položky <strong>%s</strong> až <strong>%s</strong> z celkem <strong>%s</strong>"
"Logo Image Alt","Alternativní text k obrázku loga"
"Logo Image Src","Zdroj obrázku loga"
"Magento Commerce Demo Store","Ukázkový obchod Magento"
"Next Page","Další stránka"
"Page:","Stránka:"
"Previous Page","Předchozí stránka"
Redirecting...,Přesměrování...
"Report All Bugs","Hlásit všechny chyby"
"Select Store","Vybrat obchod"
"Show","Ukázat"
"Skip to Main Content","Přeskočit na obsah"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Toto je ukázkový obchod, odeslané objednávky nebudou realizovány."
"Title Prefix","Předpona nadpisu"
"Title Suffix","Přípona nápisu"
"Welcome Text","Uvítací text"
"Welcome, %s!","Vítejte, %s!"
"You're currently on:","Právě jste na:"
"Your Language","Váš jazyk"
"Your Language:","Váš jazyk:"
"per page","na stránku"
