API Password,API Heslo
API Signature,API Podpis
API User Name,API Uživatelské jméno
"Billing Information","Platební údaje"
"Business Account","Obchodní účet"
"Business Name","Obchodní jméno"
"Change Payment Method","Změnit způsob platby"
"Change Shipping Address","Změnit dodací adresu"
"Credit Card Types","Typ platební karty"
"Debug Flag","Ladící znaky"
"Edit Shopping Cart","Upravit košík"
"Enabled","Aktivní"
"Items in Your Shopping Cart","Položky v nákupním košíku"
"New order status","Nový stav objednávky"
"PayPal Account","Účet PayPal"
PayPal Email,PayPal e-mail
"Payment Action","Platební akce"
Payment Method,Způsob platby
"Payment from Specific countries","Platby z vybraných zemí"
"Payment from applicable countries","Platby z použitelných zemí"
"Paypal Logo Image URL","Paypal Logo Image URL(150x150)"
"Paypal URL","Paypal URL"
"Place an Order","Odeslat objednávku"
"Please select a shipping method...","Vyberte prosím způsob dodání..."
"Price","Cena"
"Product Name","Název produktu"
Proxy Host,Proxy Host
Proxy Port,Proxy Port
"Qty","Množství"
"Review Order","Přehled objednávky"
"Sandbox Flag","Pískoviště"
"Shipping Address","Dodací adresa"
"Shipping Information","Dodací údaje"
"Shipping Method","Způsob dodání"
"Sorry, no quotes are available for this order at this time.","Litujeme, pro tuto objednávku nyní nejsou k dispozici žádné nabídky."
"Sort order","Pořadí objednávek"
"Submitting order information...","Odesílám informace o objednávce..."
"Subtotal","Součet"
"Title","Nadpis"
"Transaction Type","Typ transakce"
"Type","Typ"
"Update Shipping Method","Upravit způsob doručení"
"Use Proxy","Použít Proxy"
"Website Payments Pro (Express, Direct)","Website Payments Pro (Express, Direct)"
"Website Payments Standard","Website Payments Standard"
"You will be redirected to PayPal website when you place an order.","Budete přesměrováni na stránky PayPal po odeslání objednávky."
"You will be redirected to paypal in a few seconds.","Během několika sekund budete přesměrováni na paypal."
"Your billing address will be ignored and you will be redirected to PayPal website","Vaše fakturační údaje budou ignorovány a budete přesměrování na stránky PayPalu"
