"Abandoned carts","Opuštěné košíky"
"Action","Událost"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat do srovnání"
"Add to Wishlist","Přidat do knihy přání"
"Applied Coupon","Použité kupóny"
"Average rating","Průměrné hodnocení"
"Bestsellers","Bestselery"
"Bought from wishlists","Koupit z knihy přání"
"CSV","CSV"
"Carrier/Method","Přepravce/způsob"
"Carts","Košík"
"Coupons","Kupóny"
"Created at","Vytvořeno v"
"Customer","Zákazník"
"Customer Name","Jméno zákazníka"
"Customer Tags","Zákaznické štítky"
"Customers","Zákazníci"
"Customers Report","Přehled zákazníků"
"Customers Reviews","Zákaznické recenze"
"Customers Tags","Zákaznické štítky"
"Customers by number of orders","Zákazníci podle počtu objednávek"
"Customers by orders total","Zákazníci podle hodnoty objednávek"
"Customers that have wishlist: %s%","Zákazníci kteří mají knihu přání: %s%"
"Day","Den"
"Detail","Detaily"
"Discounts","Slevy"
"Email","E-mail"
"Excel","Excel"
"First Name","Jméno"
"Guest","Návštěvník"
"Hits","Zásahy"
"ID","ID"
"Invalid date specified","Chybně specifikované datum"
"Invoiced","Fakturováno"
"Items Ordered","Objednané položky"
"Items in Cart","Položky v košíku"
"Last Name","Příjmení"
"Last Review","Poslední recenze"
"Low stock","Nízká zásoba"
"Month","Měsíc"
"Most Viewed","Nejnavštěvovanější"
"Most viewed","Nejnavštěvovanější"
"Name","Jméno"
"New Accounts","Nové účty"
"Number Added","Číslo přídáno"
"Number Fulfilled","Číslo vyplněno"
"Number Of Historical Uses","Historie počtu uživatelů"
"Number Of Reviews","Počet recenzí"
"Number Of Uses","Počet uživatelů"
"Number Purchased","Počet objednávek"
"Number Viewed","Počet zobrazení"
"Number of Items","Počet položek"
"Number of New Accounts","Počet nových účtů"
"Number of Orders","Počet objednávek"
"Number of Reviews","Počet recenzí"
"Number of Total Tags","Celkový počet štítků"
"Number of Unique Tags","Počet jedinečných štítků"
"Number of Views","Počet zobrazení"
"Number of items bought from a wishlist: %s","Počet položek koupených z knihy přání: %s"
"Number of times deleted","Vícekrát smazané"
"Number of times wishlists have been shared (emailed): %s","Doposud bylo sdíleno (odesláno e-mailem) knih přání: %s"
"Number of wishlist conversions: %s","Počet změn v knize přání: %s"
"Number of wishlist referrals: %s","Počet odkazů v knize přání: %s"
"Number of wishlists: %s","Počet knih přání: %s"
"Offline Refunded","Offline zaplaceno"
"Online Refunded","Online zaplaceno"
"Orders","Objednávky"
"Out of stock","Není skladem"
"Poducts Report","Přehled produktů"
"Popular Tags","Oblíbené štítky"
"Popularity","Obliba"
"Price","Cena"
"Product Name","Název produktu"
"Product Reviews","Recenze produktů"
"Product Sku","SKU produktu"
"Product Tags","Štítky produktu"
"Products","Produkty"
"Products Report","Přehled produktů"
"Products Reviews","Recenze produktů"
"Products Tags","Štítky produktu"
"Products in carts","Produkty v košíku"
"Quantity Ordered","Objednané množství"
"Quantity of Items","Množství položek"
"Rate","Sazba"
"Recently Compared Products","Nedávno porovnávané"
"Recently Viewed Products","Zobrazené produkty"
"Recently Viewed/Compared Products","Nedávno prohlížené/porovnávané produkty"
"Refunded","Splacený"
"Reports","Přehledy"
"Results","Výsledky"
"Revenue","Příjem"
"Review","Recenze"
"Reviews","Recenze"
"Reviews for %s","Recenze pro %s"
"Sales","Prodeje"
"Sales Report","Přehledy prodejů"
"Search Terms","Vyhledávané termíny"
"Shipping","Přeprava"
"Shopping Cart","Nákupní košík"
"Show for Current","Zobrazit pro tento"
"Stock Qty","Množství na skladě"
"Submitted In","Předložen v"
"Submitted On","Předložený na"
"Subtotal","Součet"
"Tag","Štítek"
"Tag ""%s"" details","Detail ""%s"" štítku"
"Tag Detail","Detaily štítku"
"Tag Name","Jméno štítku"
"Tag use","Použití štítku"
"Tags submited by %s","Štítek od %s"
"Tags submitted to %s","Štítek pro %s"
"Tax","Daň"
"Tax Amount","Výška daně"
"Title","Nadpis"
"Total","Celkem"
"Total Refunded","Celkem zaplaceno"
"Total Shipping","Celkem přepravné"
"Total Tags","Celkem štítků"
"Total invoiced","Celkem fakturováno"
"Total invoiced captured","Celkem zaznamenáno faktur"
"Total invoiced not captured","Celkem nezachyceno faktur"
"Total refunded","Celkem zaplaceno"
"Updated at","Aktualizovat v"
"Visible In","Viditelné v"
"Wishlist Report","Přehled knih přání"
"Wishlist vs. Regular Order","Kniha přání versus skutečné objednávky"
"Wishlists","Knihy přání"
"Year","Rok"
"Your Recently Compared","Nedávno porovnávané"
"Your Recently Viewed","Nedávno prohlížené"
"Default Recently Compared Products count","Výchozí počet nedávno porovnávaných produktů"
"Default Recently Viewed Products count","Výchozí počet nedávno shlédnutých produktů"
