"ALL","VŠE"
"ANY","LIBOVOLNÝ"
"Add","Přidat"
"Apply","Použít"
"Description: %s","Popis: %s"
"Expire at: %s","Vyprší: %s"
"FALSE","NEPRAVDA"
"If %s of these conditions are %s:","Pokud jsou %s z těchto podmínek %s:"
MATCHING ALL,ODPOVÍDÁ VŠE
MATCHING ANY,ODPOVÍDÁ NĚKTERÁ
NOT MATCHING ALL,NEODPOVÍDÁ VŠE
NOT MATCHING ANY,NEODPOVÍDÁ ŽÁDNÁ
"Name: %s","Název: %s"
"Open Chooser","Kdo si vybírá"
"Perform following actions","Provést následující akce"
"Please choose a condition to add...","Vyberte prosím podmínku k přidání..."
"Please choose an action to add...","Vyberte prosím akci k přidání..."
"Remove","Odstranit"
"Start at: %s","Začátek: %s"
"TRUE","PRAVDA"
"by","od"
"to","do"
