"%s is not supported currency.","%s není podporovaná měna."
"Accept","Akceptováno"
"Basic","Základní"
"Cannot retreive rate from strikeirion.","Nelze získat hodnocení ze strikeiron."
"Cannot retrieve rate from %s to %s","Nelze získat hodnocení od %s do %s"
"Check all email servers","Zkusit všechny emailové servery"
"Complete","Hotovo"
"Customer Tax Class","Daňová třída zákazníka"
"Email Verification","Ověření e-mailu"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","E-mailová adresa nemohla být ověřena. Prosím zkontrolujte jestli je zadána zprávně."
"Enable US address verification","Zapnout ověřování adres v USA"
"Enable email verification","Zapnout ověřování e-mailu"
"Enable foreign exchange rate","Povolit devizové kurzy"
"Enable global address verification","Zapnout globální ověřování adres"
"Enable sales and use tax","Zapnout prodeje a používat daně"
"Error Email Recipient","Chyba E-mailového příjemce"
"Error Email Sender","Chyba E-mailového odesilatele"
"Error Email Template","Chyba šablony e-mailu"
"Error address action","Chybná akce adresy"
"Foreign Exchange Rates","Devizové kurzy"
"Global Address Verification","Globální ověřování adres"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Je-li typ je kompletní a poštovní směrovací číslo patří do více daňových sazeb, zvolte, zda se bude účtovat podle minimální nebo maximální sazby daně."
"Invalid email address","Chybná e-mailová adresa"
"Maximum tax rate","Maximální sazba daně"
"Minimum tax rate","Minimální sazba daně"
"Password","Heslo"
"Pop up warning and accept","Vyskakovat varování a potvrzení"
"Product Tax Class","Daňová kategorie produktu"
"Reject","Odmítnout"
"Sales and Use Tax","„Sales and Use“ daň"
"Sales and Use Tax Type","„Sales and Use“ typ daně"
"Strikeiron","Strikeiron"
"Strikeiron Config","Nastavení Strikeiron"
"Strikeiron Section","Strikeiron sekce"
"Strikeiron foreign exchange rate is disabled","Strikeiron devizové kurzy jsou vypnuty"
"Tax","Daň"
"There is an error in retrieving tax rate. Please contact us","Nastala chyba při získávání daňových sazeb. Prosím kontaktujte nás"
"There is an error in verifying an email. Please contact us.","Nastala chyba při ověřování e-mailu. Prosím kontaktujte nás."
"There is no more hits remaining for the foreign Exchange Rate Service.","Nejsou dostupné žádné další služby zabívající se kurzovými sazbami."
"There is no response back from Strikeiron server","Strikeiron server neodpovídá"
"US Address Verification","USA ověřování adres"
"Undetermined email action","Neurčitá e-mailová akce"
"Use","Použít"
"User ID","ID uživatele"
"Verify address in admin","Ověřit adresu v administraci"
"Verify email in admin","Ověřit email v administraci"
