"Tag","Štítek"
"Unable to remove tag. Please, try again later.","Štítek se nepodařilo odstranit. Zkuste to prosím později."
"Tags","Štítky"
"Tags Aren't Available","Štítky nejsou k dispozici"
"Customers Tagged '%s'","Štítky od zákazníků '%s'"
"Use spaces to separate tags. Use single quotes (') for phrases.","Štítky oddělujte mezerou. Víceslovné uzavřete v apostrofech (')."
"Product Tags","Štítky produktu"
"Tags:","Štítky:"
"Pending","Čekající"
"Pending Tags","Čekající štítky"
"Price","Cena"
"CSV","CSV"
Your tag(s) have been accepted for moderation,Váš štítek(ky) byl přijat ke schváliení.
Thank you. Your tag has been accepted for moderation.,Děkujeme. Váš štítek byl přijat ke schválení.
"Email","E-mail"
"ID","ID"
"Tag Information","Informace o štítku"
"Block Information","Informace o bloku"
"Name","Jméno"
"First Name","Jméno"
"Tag Name","Jméno štítku"
"Are you sure that you want to delete this tag?","Jste si jisti, že chcete smazat tento štítek?"
"Are you sure you want to do this?","Jste si jisti, že to chcete udělat?"
"Are you sure?","Jste si jisti?"
"Click on a tag to view your corresponding products.","Kliknutím na štítek zobrazíte odpovídající produkty"
"My Tags","Moje štítky"
"My Recent Tags","Moje poslední štítky"
"Tag Name: %s","Název štítku: <strong>%s</strong>"
"Product Name","Název produktu"
"Disabled","Neaktivní"
"No matches found.","Nebyl nalezen žádný záznam."
"Unable to save tag(s)","Nelze uložit štítky"
"Unable to find any products tagged with '%s' in the current store","Nenalezen žádný produkt označený štítkem '%s' v tomto obchodě"
"New Tag","Nový štítek"
"Tagged in","Oštítkován v"
"Popular","Oblíbené"
"Popular Tags","Oblíbené štítky"
"Popularity","Obliba"
"Other people marked this product with these tags:","Ostatní označili tento produkt těmito štítky:"
"Last Name","Příjmení"
"Add Tags","Přidat štítky"
"Add to Cart","Přidat do košíku"
Add to Wishlist,Přidat do knihy přání
"Add New Tag","Přidat nový štítek"
"Add Your Tags:","Přidejte vaše štítky:"
"# of Uses","počet použití"
"Tag can't be empty.","Popisek nesmí být prázdný."
"Uses","Použití"
"Product SKU","Produkt SKU"
"Products","Produkty"
"Products tagged with '%s'","Produkty oštítkované jako '%s'"
"Products Tagged with '%s'","Produkty oštítkované jako '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produkty oštítkované jako '%s' (<a href='%s'>RSS</a>)"
"ZIP/Post Code","PSČ"
"Approved","Schválený"
"List","Seznam"
"SKU","SKU"
"Delete","Smazat"
"Delete Tag","Smazat štítek"
"Status","Stav"
"Change status","Stav změněn"
"Grid","Tabulka"
"Telephone","Telefon"
"Action","Událost"
"Actions","Události"
"Save Tag","Uložit štítek"
"Edit Tag","Upravit štítek"
"Edit Tag '%s'","Upravit štítek '%s'"
Are you sure you want to delete this tag?,"Jste si jisti, že chcete smazat tento štítek?"
"You tag was successfully deleted","Váš štítek byl úspěšně smazán"
"You tag was successfully saved","Váš štítek byl úspěšně uložen"
"Unable to save your tag. Please, try again later.","Váš štítek nelze uložit. Zkuste to prosím později."
"All Tags","Všechny štítky"
"All tags","Všechny štítky"
"General Information","Všeobecné informace"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Výsledky hledání '%s' (<a href='%s'>RSS</a>)"
"Visible In","Viditelné v"
"XML","XML"
"You have not tagged any products yet.","Zatím jste neoznačili štítkem žádný produkt"
"Customers","Zákazníci"
"Customer Since","Zákazníkem od"
"Country","Země"
"View Products","Zobrazit produkty"
"View All Tags","Zobrazit všechny štítky"
"View Customers","Zobrazit zákazníky"
"Back","Zpět"
"Back to view Tag","Zpět na prohlížení štítků"
"Back to Tags List","Zpět na seznam štítků"
